N,me,solved,date,desc
1,1,191001,05 October 2001 05:00 pm,"Add all the natural numbers below one thousand that are multiples of 3 or 5."
2,1,158008,19 October 2001 05:00 pm,"By considering the terms in the Fibonacci sequence whose values do not exceed four million, find the sum of the even-valued terms."
3,1,114892,02 November 2001 06:00 pm,"Find the largest prime factor of a composite number."
4,1,106110,16 November 2001 06:00 pm,"Find the largest palindrome made from the product of two 3-digit numbers."
5,1,118832,30 November 2001 06:00 pm,"What is the smallest number divisible by each of the numbers 1 to 20?"
6,1,120670,14 December 2001 06:00 pm,"What is the difference between the sum of the squares and the square of the sums?"
7,1,101599,28 December 2001 06:00 pm,"Find the 10001st prime."
8,1,89899,11 January 2002 06:00 pm,"Discover the largest product of five consecutive digits in the 1000-digit number."
9,1,89850,25 January 2002 06:00 pm,"Find the only Pythagorean triplet, {<var>a</var>, <var>b</var>, <var>c</var>}, for which <var>a</var> + <var>b</var> + <var>c</var> = 1000."
10,1,81633,08 February 2002 06:00 pm,"Calculate the sum of all the primes below two million."
11,1,61950,22 February 2002 06:00 pm,"What is the greatest product of four adjacent numbers on the same straight line in the 20 by 20 grid?"
12,1,54592,08 March 2002 06:00 pm,"What is the value of the first triangle number to have over five hundred divisors?"
13,1,61194,22 March 2002 06:00 pm,"Find the first ten digits of the sum of one-hundred 50-digit numbers."
14,1,59148,05 April 2002 05:00 pm,"Find the longest sequence using a starting number under one million."
15,1,48507,19 April 2002 05:00 pm,"Starting in the top left corner in a 20 by 20 grid, how many routes are there to the bottom right corner?"
16,1,64949,03 May 2002 05:00 pm,"What is the sum of the digits of the number 2<sup>1000</sup>?"
17,1,40735,17 May 2002 05:00 pm,"How many letters would be needed to write all the numbers in words from 1 to 1000?"
18,1,41255,31 May 2002 05:00 pm,"Find the maximum sum travelling from the top of the triangle to the base."
19,1,37666,14 June 2002 05:00 pm,"How many Sundays fell on the first of the month during the twentieth century?"
20,1,62214,21 June 2002 05:00 pm,"Find the sum of digits in 100!"
21,1,40991,05 July 2002 05:00 pm,"Evaluate the sum of all amicable pairs under 10000."
22,1,38410,19 July 2002 05:00 pm,"What is the total of all the name scores in the file of first names?"
23,1,27776,02 August 2002 05:00 pm,"Find the sum of all the positive integers which cannot be written as the sum of two abundant numbers."
24,1,33568,16 August 2002 05:00 pm,"What is the millionth lexicographic permutation of the digits 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9?"
25,1,46419,30 August 2002 05:00 pm,"What is the first term in the Fibonacci sequence to contain 1000 digits?"
26,1,23286,13 September 2002 05:00 pm,"Find the value of <i>d</i> &lt; 1000 for which 1/<i>d</i> contains the longest recurring cycle."
27,1,24673,27 September 2002 05:00 pm,"Find a quadratic formula that produces the maximum number of primes for consecutive values of <i>n</i>."
28,1,35759,11 October 2002 05:00 pm,"What is the sum of both diagonals in a 1001 by 1001 spiral?"
29,1,30513,25 October 2002 05:00 pm,"How many distinct terms are in the sequence generated by <i>a<sup>b</sup></i> for 2 &le; <i>a</i> &le; 100 and 2 &le; <i>b</i> &le; 100?"
30,1,33117,08 November 2002 06:00 pm,"Find the sum of all the numbers that can be written as the sum of fifth powers of their digits."
31,0,22809,22 November 2002 06:00 pm,"Investigating combinations of English currency denominations."
32,0,19819,06 December 2002 06:00 pm,"Find the sum of all numbers that can be written as pandigital products."
33,0,21336,20 December 2002 06:00 pm,"Discover all the fractions with an unorthodox cancelling method."
34,0,29049,03 January 2003 06:00 pm,"Find the sum of all numbers which are equal to the sum of the factorial of their digits."
35,0,26458,17 January 2003 06:00 pm,"How many circular primes are there below one million?"
36,0,29091,31 January 2003 06:00 pm,"Find the sum of all numbers less than one million, which are palindromic in base 10 and base 2."
37,0,21930,14 February 2003 06:00 pm,"Find the sum of all eleven primes that are both truncatable from left to right and right to left."
38,0,18238,28 February 2003 06:00 pm,"What is the largest 1 to 9 pandigital that can be formed by multiplying a fixed number by 1, 2, 3, ... ?"
39,0,21551,14 March 2003 06:00 pm,"If <i>p</i> is the perimeter of a right angle triangle, {<i>a</i>, <i>b</i>, <i>c</i>}, which value, for <i>p</i> &le; 1000, has the most solutions?"
40,1,24897,28 March 2003 06:00 pm,"Finding the <i>n</i><sup>th</sup> digit of the fractional part of the irrational number."
41,0,20268,11 April 2003 05:00 pm,"What is the largest <i>n</i>-digit pandigital prime that exists?"
42,1,24316,25 April 2003 05:00 pm,"How many triangle words does the list of common English words contain?"
43,0,16473,09 May 2003 05:00 pm,"Find the sum of all pandigital numbers with an unusual sub-string divisibility property."
44,0,15939,23 May 2003 05:00 pm,"Find the smallest pair of pentagonal numbers whose sum and difference is pentagonal."
45,1,23230,06 June 2003 05:00 pm,"After 40755, what is the next triangle number that is also pentagonal and hexagonal?"
46,0,16739,20 June 2003 05:00 pm,"What is the smallest odd composite that cannot be written as the sum of a prime and twice a square?"
47,0,16837,04 July 2003 05:00 pm,"Find the first four consecutive integers to have four distinct primes factors."
48,1,40850,18 July 2003 05:00 pm,"Find the last ten digits of 1<sup>1</sup> + 2<sup>2</sup> + ... + 1000<sup>1000</sup>."
49,0,16157,01 August 2003 05:00 pm,"Find arithmetic sequences, made of prime terms, whose four digits are permutations of each other."
50,0,17545,15 August 2003 05:00 pm,"Which prime, below one-million, can be written as the sum of the most consecutive primes?"
51,0,8963,29 August 2003 05:00 pm,"Find the smallest prime which, by changing the same part of the number, can form eight different primes."
52,1,22608,12 September 2003 05:00 pm,"Find the smallest positive integer, <i>x</i>, such that 2<i>x</i>, 3<i>x</i>, 4<i>x</i>, 5<i>x</i>, and 6<i>x</i>, contain the same digits in some order."
53,0,20484,26 September 2003 05:00 pm,"How many values of C(<var>n</var>,<var>r</var>), for 1 &#8804; <var>n</var> &#8804; 100, exceed one-million?"
54,0,10194,10 October 2003 05:00 pm,"How many hands did player one win in the game of poker?"
55,0,18083,24 October 2003 05:00 pm,"How many Lychrel numbers are there below ten-thousand?"
56,0,19280,07 November 2003 06:00 pm,"Considering natural numbers of the form, <i>a<sup>b</sup></i>, finding the maximum digital sum."
57,0,12577,21 November 2003 06:00 pm,"Investigate the expansion of the continued fraction for the square root of two."
58,0,12174,05 December 2003 06:00 pm,"Investigate the number of primes that lie on the diagonals of the spiral grid."
59,0,13471,19 December 2003 06:00 pm,"Using a brute force attack, can you decrypt the cipher using XOR encryption?"
60,0,7182,02 January 2004 06:00 pm,"Find a set of five primes for which any two primes concatenate to produce another prime."
61,0,7370,16 January 2004 06:00 pm,"Find the sum of the only set of six 4-digit figurate numbers with a cyclic property."
62,0,9191,30 January 2004 06:00 pm,"Find the smallest cube for which exactly five permutations of its digits are cube."
63,0,14047,13 February 2004 06:00 pm,"How many <i>n</i>-digit positive integers exist which are also an <i>n</i><sup>th</sup> power?"
64,0,6420,27 February 2004 06:00 pm,"How many continued fractions for <var>N</var> &#8804; 10000 have an odd period?"
65,0,8514,12 March 2004 06:00 pm,"Find the sum of digits in the numerator of the 100<sup>th</sup> convergent of the continued fraction for <i>e</i>."
66,0,5797,26 March 2004 06:00 pm,"Investigate the Diophantine equation <i>x</i><sup>2</sup> &#8722; D<i>y</i><sup>2</sup> = 1."
67,1,31016,09 April 2004 05:00 pm,"Using an efficient algorithm find the maximal sum in the triangle?"
68,0,6032,23 April 2004 05:00 pm,"What is the maximum 16-digit string for a 'magic' 5-gon ring?"
69,0,11258,07 May 2004 05:00 pm,"Find the value of <i>n</i> &le; 1,000,000 for which <i>n</i>/&phi;(<i>n</i>) is a maximum."
70,0,7010,21 May 2004 05:00 pm,"Investigate values of <var>n</var> for which &#966;(<var>n</var>) is a permutation of <var>n</var>."
71,0,9554,04 June 2004 05:00 pm,"Listing reduced proper fractions in ascending order of size."
72,0,6998,18 June 2004 05:00 pm,"How many elements would be contained in the set of reduced proper fractions for <i>d</i> &le; 1,000,000?"
73,0,8763,02 July 2004 05:00 pm,"How many fractions lie between 1/3 and 1/2 in a sorted set of reduced proper fractions?"
74,0,8464,16 July 2004 05:00 pm,"Determine the number of factorial chains that contain exactly sixty non-repeating terms."
75,0,5239,30 July 2004 05:00 pm,"Find the number of different lengths of wire that can form a right angle triangle in only one way."
76,0,9471,13 August 2004 05:00 pm,"How many different ways can one hundred be written as a sum of at least two positive integers?"
77,0,5504,27 August 2004 05:00 pm,"What is the first value which can be written as the sum of primes in over five thousand different ways?"
78,0,4819,10 September 2004 05:00 pm,"Investigating the number of ways in which coins can be separated into piles."
79,0,17469,17 September 2004 05:00 pm,"By analysing a user's login attempts, can you determine the secret numeric passcode?"
80,0,6216,08 October 2004 05:00 pm,"Calculating the digital sum of the decimal digits of irrational square roots."
81,0,10555,22 October 2004 05:00 pm,"Find the minimal path sum from the top left to the bottom right by moving right and down."
82,0,6535,05 November 2004 06:00 pm,"Find the minimal path sum from the left column to the right column."
83,0,5386,19 November 2004 06:00 pm,"Find the minimal path sum from the top left to the bottom right by moving left, right, up, and down."
84,0,3596,03 December 2004 06:00 pm,"In the game, Monopoly, find the three most popular squares when using two 4-sided dice."
85,0,8167,17 December 2004 06:00 pm,"Investigating the number of rectangles in a rectangular grid."
86,0,3661,07 January 2005 06:00 pm,"Exploring the shortest path from one corner of a cuboid to another."
87,0,6594,21 January 2005 06:00 pm,"Investigating numbers that can be expressed as the sum of a prime square, cube, and fourth power?"
88,0,2544,04 February 2005 06:00 pm,"Exploring minimal product-sum numbers for sets of different sizes."
89,0,6028,18 February 2005 06:00 pm,"Develop a method to express Roman numerals in minimal form."
90,0,3094,04 March 2005 06:00 pm,"An unexpected way of using two cubes to make a square."
91,0,4875,18 March 2005 06:00 pm,"Find the number of right angle triangles in the quadrant."
92,0,12960,01 April 2005 05:00 pm,"Investigating a square digits number chain with a surprising property."
93,0,3319,15 April 2005 05:00 pm,"Using four distinct digits and the rules of arithmetic, find the longest sequence of target numbers."
94,0,3517,29 April 2005 05:00 pm,"Investigating almost equilateral triangles with integral sides and area."
95,0,4190,13 May 2005 05:00 pm,"Find the smallest member of the longest amicable chain with no element exceeding one million."
96,0,5341,27 May 2005 05:00 pm,"Devise an algorithm for solving Su Doku puzzles."
97,0,18779,10 June 2005 05:00 pm,"Find the last ten digits of the non-Mersenne prime: 28433 &times; 2<sup>7830457</sup> + 1."
98,0,3122,17 June 2005 05:00 pm,"Investigating words, and their anagrams, which can represent square numbers."
99,0,10501,01 July 2005 05:00 pm,"Which base/exponent pair in the file has the greatest numerical value?"
100,0,4558,15 July 2005 05:00 pm,"Finding the number of blue discs for which there is 50% chance of taking two blue."
101,0,3199,29 July 2005 05:00 pm,"Investigate the optimum polynomial function to model the first <i>k</i> terms of a given sequence."
